Word,Frequency
haaland,393
hai,2236
hailing,136
half,4445
halfway,329
hallmark,113
halted,279
han,568
hand,6124
handed,943
handle,1412
handling,452
hang,433
hangargekar,97
hanging,492
hangzhou,505
hao,192
haphazard,6
happend,1
happened,2711
happening,1049
happens,1266
happy,5867
haq,83
hard,6256
hardik,4073
hardly,359
harendra,579
harmanpreet,2149
harpreet,225
harry,1016
harsha,48
harshal,282
harshit,1324
harshitaa,92
haryana,1281
hasan,1136
hasaranga,406
hashioka,1
hastening,2
hat,491
haul,1141
hayward,164
hd,426
head,12164
headed,632
header,745
heading,970
health,2310
healthy,716
heard,1033
heart,2244
heartbreaking,532
heartfelt,1208
heat,1717
heaved,26
heavily,980
heavy,1123
hectic,222
hefty,293
height,1371
heightened,181
heinrich,657
held,6883
helm,332
help,5244
helped,4113
hemanth,176
hernandez,151
hernia,7
hero,1582
heroic,425
hetmyer,283
hi,786
hiatus,473
high,6249
higher,1118
highest,3633
highlander,97
highlight,3932
highlighted,2653
highlighting,1611
highly,2433
hilariously,106
himachal,502
himanshu,152
hinge,228
hint,542
hip,593
historic,3071
historically,195
history,9000
hit,7913
hitter,278
hitting,2316
hmar,6
hockey,7382
hojgaard,74
hold,4945
holding,1816
hole,2386
holger,193
homa,247
home,12437
honest,912
honestly,537
honor,1110
honorary,152
hooda,813
hope,6709
hopefully,1374
hoping,1376
hopped,22
horizon,294
horn,198
horrific,117
hosein,98
hosh,2
host,6191
hostility,71
hosting,1164
hot,717
hotspur,207
hour,3422
hourigan,11
house,1715
hovland,100
howe,90
hrithik,50
huge,3124
human,649
humbert,101
humiliation,86
humorous,236
humour,123
humourous,7
hunger,393
hungry,369
hunt,759
hurdle,530
hussain,248
hyderabad,4025
hylo,193
hyped,112
hyuk,82
ians,258
iba,1430
icc,8808
icon,1639
iconic,2521
idol,158
iglesias,95
ii,336
ilkay,28
illustrious,948
imad,304
image,17433
immediate,950
immediately,1439
immense,1401
impact,5098
impactful,490
impeccable,140
importance,2248
important,4998
impress,236
impressed,907
impressing,112
impression,386
impressive,7400
improve,2082
improved,962
improvement,1098
improving,488
inability,439
inaugural,1101
inch,469
incident,3622
incidentally,129
inclement,65
include,1780
included,2964
includes,2271
including,11670
inclusion,1062
incorporated,40
increase,827
india,78887
indian,41732
indicate,445
indicating,464
indie,3366
indira,136
individual,3168
indonesia,2292
indonesian,614
inexperienced,169
influence,1664
information,786
initial,1894
initially,2362
injects,14
injured,1800
injures,16
injury,15751
inn,64
inning,10403
input,3670
inside,2801
insight,1041
inspiration,757
inspired,821
instagram,4086
instance,785
instead,1976
instilled,104
instinct,326
instrumental,1025
insurmountable,75
integral,280
intelligent,133
intense,2796
intensely,37
intensified,345
intensifies,54
intensify,94
intensifying,117
intensity,776
inter,897
interacting,91
interaction,984
interesting,1781
interfering,66
internal,361
international,16173
internet,682
interrupted,321
interval,698
intervened,210
interview,3650
intriguing,554
introduced,943
investment,970
invitation,306
invited,381
involved,2588
ioa,651
ioc,1572
ipl,41013
iran,175
ironically,54
irrelevant,61
isak,219
ishan,601
ishant,300
isharani,287
isilye,15
isko,39
isl,1213
island,362
israel,324
israeli,81
issue,5002
issued,864
ist,4617
italian,1646
itna,19
iyer,3784
jack,1251
jadeja,3285
jagadeesan,56
jahouh,52
jaipur,1403
jaiswal,2980
jaitley,502
jake,1674
jakobshalle,5
james,3248
jamieson,69
janata,46
janneke,51
jannik,1357
jansen,858
january,3912
japan,3057
japanese,1455
jas,24
jason,2684
jasprit,3726
jayant,121
jaydev,178
jean,361
jeremy,215
jersey,1493
jhathavedh,51
jhye,93
jia,520
jin,355
jinx,82
jio,115
jitesh,463
jithin,62
joao,154
job,3210
jofra,492
johnson,2468
join,2627
joined,2900
joining,2043
joint,1012
joked,303
jolly,1212
jolt,65
jon,332
jonatan,186
jongte,1
jonny,251
joo,19
jordan,2406
jos,894
jose,473
joseph,622
josh,3072
joshua,747
journey,5519
jovial,10
joy,1149
joyous,124
judge,878
judicious,25
juggernaut,114
jugraj,199
june,5649
junior,3670
juventus,317
jwala,85
júnior,42
kagiso,533
kaise,21
kalinga,215
kalyan,62
kamboj,277
kamran,284
kane,1382
kang,142
kansa,4825
kanwar,41
kapil,983
kapila,585
kapur,101
karen,88
karkera,97
karn,260
karthik,1044
kartik,439
kartikeya,181
kashmir,170
kashyap,857
kasimov,7
katethong,59
kazakhstan,276
kc,93
ke,616
keen,603
keenly,90
keeper,367
keeping,1842
kept,3915
kevin,2384
key,7253
